device,os,channel,device_os_channel_confRate
0,0,210,0.0
0,0,213,0.03681245914855485
0,0,268,0.0
0,0,347,0.0
0,21,101,0.0
0,21,213,0.04038169266166828
0,21,243,0.0
0,21,347,0.05591760034688151
0,24,101,0.0
0,24,210,0.060205999132796235
0,24,213,0.048061799739838866
0,24,268,0.0
0,24,333,0.0
0,24,343,0.03180808364797749
0,24,347,0.03427518007097959
0,29,101,0.0
0,29,210,0.0
0,29,213,0.022577249674798586
0,29,347,0.0
0,38,101,0.0
0,38,213,0.0
0,38,268,0.0
0,38,333,0.0
0,38,347,0.0
0,50,213,0.0
0,50,347,0.0
0,59,101,0.0
0,67,224,0.0
0,76,347,0.0
0,607,222,0.0
0,607,282,0.0
0,607,320,0.0
0,607,341,0.0
1,1,3,0.0
1,1,17,0.0
1,1,19,0.0
1,1,21,0.0
1,1,101,0.030102999566398118
1,1,107,0.0
1,1,110,0.0
1,1,111,0.0
1,1,115,0.0
1,1,116,0.0
1,1,121,0.0
1,1,122,0.0
1,1,124,0.0
1,1,125,0.0
1,1,128,0.013947472278925621
1,1,130,0.0
1,1,134,0.0
1,1,135,0.0
1,1,137,0.0
1,1,140,0.0
1,1,145,0.0
1,1,153,0.0
1,1,173,0.0
1,1,178,0.0
1,1,205,0.0
1,1,211,0.0
1,1,212,0.0
1,1,213,0.0
1,1,215,0.0
1,1,219,0.0
1,1,232,0.0
1,1,234,0.0
1,1,236,0.0
1,1,237,0.0
1,1,242,0.0
1,1,243,0.0
1,1,244,0.0
1,1,245,0.0
1,1,258,0.0
1,1,259,0.0
1,1,265,0.0
1,1,266,0.0
1,1,278,0.0
1,1,280,0.0
1,1,315,0.0
1,1,319,0.0
1,1,325,0.0
1,1,326,0.0
1,1,328,0.0
1,1,349,0.0
1,1,364,0.0
1,1,376,0.0
1,1,377,0.027958800173440754
1,1,379,0.0
1,1,386,0.0
1,1,400,0.0
1,1,401,0.0
1,1,402,0.0
1,1,409,0.0
1,1,412,0.0
1,1,417,0.0
1,1,424,0.0
1,1,430,0.0
1,1,435,0.0
1,1,439,0.0
1,1,442,0.0
1,1,445,0.0
1,1,452,0.0
1,1,459,0.0
1,1,463,0.0
1,1,466,0.0
1,1,467,0.0
1,1,469,0.0
1,1,477,0.0
1,1,480,0.0
1,1,481,0.0
1,1,487,0.0
1,1,489,0.0
1,1,497,0.0
1,2,3,0.0
1,2,13,0.0
1,2,19,0.0
1,2,101,0.0
1,2,107,0.0
1,2,110,0.0
1,2,111,0.0
1,2,115,0.0
1,2,116,0.0
1,2,125,0.0
1,2,128,0.0
1,2,130,0.0
1,2,134,0.0
1,2,135,0.0
1,2,137,0.0
1,2,140,0.0
1,2,145,0.0
1,2,153,0.0
1,2,173,0.0
1,2,178,0.0
1,2,182,0.0
1,2,205,0.0
1,2,213,0.0
1,2,215,0.0
1,2,219,0.0
1,2,232,0.0
1,2,234,0.0
1,2,236,0.0
1,2,244,0.0
1,2,258,0.0
1,2,259,0.0
1,2,265,0.0
1,2,266,0.0
1,2,280,0.0
1,2,315,0.0
1,2,326,0.0
1,2,349,0.0
1,2,376,0.0
1,2,379,0.0
1,2,400,0.0
1,2,409,0.0
1,2,424,0.0
1,2,430,0.0
1,2,435,0.0
1,2,439,0.0
1,2,442,0.0
1,2,452,0.0
1,2,459,0.0
1,2,463,0.0
1,2,466,0.0
1,2,469,0.0
1,2,477,0.0
1,2,478,0.0
1,2,480,0.0
1,2,481,0.0
1,2,487,0.0
1,3,3,0.0
1,3,17,0.0
1,3,19,0.0
1,3,21,0.0
1,3,30,0.0
1,3,107,0.0
1,3,110,0.0
1,3,111,0.0
1,3,113,0.0
1,3,115,0.0
1,3,116,0.0
1,3,121,0.0
1,3,122,0.0
1,3,123,0.0
1,3,124,0.0
1,3,125,0.0
1,3,128,0.0
1,3,130,0.0
1,3,134,0.0
1,3,135,0.0
1,3,137,0.0
1,3,140,0.0
1,3,145,0.0024193168609188084
1,3,150,0.0
1,3,153,0.0
1,3,173,0.0
1,3,178,0.0
1,3,205,0.0
1,3,211,0.0
1,3,212,0.0
1,3,215,0.0
1,3,219,0.0
1,3,232,0.0
1,3,234,0.0
1,3,236,0.0
1,3,237,0.0
1,3,242,0.0
1,3,243,0.0
1,3,244,0.0
1,3,245,0.0
1,3,258,0.0
1,3,259,0.0
1,3,265,0.0
1,3,266,0.0
1,3,278,0.0
1,3,280,0.0
1,3,315,0.0
1,3,319,0.0
1,3,325,0.0
1,3,326,0.0
1,3,328,0.0
1,3,343,0.0
1,3,349,0.0
1,3,364,0.0
1,3,376,0.0
1,3,377,0.0
1,3,379,0.0
1,3,386,0.0
1,3,400,0.0
1,3,401,0.0
1,3,402,0.0
1,3,409,0.0
1,3,412,0.0
1,3,417,0.0
1,3,420,0.0
1,3,424,0.0
1,3,430,0.0
1,3,435,0.0
1,3,439,0.0
1,3,442,0.0
1,3,445,0.0
1,3,446,0.0
1,3,452,0.0
1,3,459,0.0
1,3,463,0.0
1,3,466,0.0
1,3,467,0.0
1,3,469,0.0
1,3,477,0.0
1,3,478,0.0
1,3,480,0.0
1,3,481,0.0
1,3,487,0.0
1,3,489,0.0
1,3,497,0.0
1,4,3,0.0
1,4,19,0.0
1,4,107,0.0
1,4,110,0.0
1,4,111,0.0
1,4,116,0.0
1,4,121,0.0
1,4,122,0.0
1,4,125,0.0
1,4,128,0.0
1,4,130,0.0
1,4,134,0.0
1,4,135,0.0
1,4,137,0.0
1,4,140,0.0
1,4,145,0.0
1,4,153,0.0
1,4,173,0.0
1,4,178,0.0
1,4,205,0.0
1,4,211,0.0
1,4,212,0.0
1,4,215,0.0
1,4,219,0.0
1,4,232,0.0
1,4,234,0.0
1,4,237,0.0
1,4,245,0.0
1,4,259,0.0
1,4,265,0.0
1,4,266,0.0
1,4,278,0.0
1,4,280,0.0
1,4,317,0.0
1,4,319,0.0
1,4,325,0.0
1,4,328,0.0
1,4,349,0.0
1,4,364,0.0
1,4,377,0.0
1,4,379,0.0
1,4,386,0.0
1,4,400,0.0
1,4,401,0.0
1,4,412,0.0
1,4,424,0.0
1,4,435,0.0
1,4,439,0.0
1,4,442,0.0
1,4,452,0.0
1,4,459,0.0
1,4,463,0.0
1,4,469,0.0
1,4,477,0.0
1,4,478,0.0
1,4,481,0.0
1,4,489,0.0
1,5,21,0.0
1,5,121,0.0
1,5,122,0.0
1,5,125,0.0
1,5,134,0.0
1,5,137,0.0
1,5,140,0.0
1,5,145,0.0
1,5,153,0.0
1,5,205,0.0
1,5,219,0.0
1,5,232,0.0
1,5,234,0.0
1,5,259,0.0
1,5,265,0.0
1,5,278,0.0
1,5,280,0.0
1,5,315,0.0
1,5,325,0.0
1,5,409,0.0
1,5,435,0.0
1,5,439,0.0
1,5,442,0.0
1,5,452,0.0
1,5,466,0.0
1,5,477,0.0
1,5,481,0.0
1,5,489,0.0
1,6,3,0.0
1,6,17,0.0
1,6,19,0.0
1,6,21,0.06773174902439576
1,6,101,0.0
1,6,105,0.0
1,6,107,0.0
1,6,110,0.0
1,6,111,0.0
1,6,113,0.0
1,6,115,0.0
1,6,116,0.0
1,6,121,0.0
1,6,122,0.0
1,6,123,0.0
1,6,124,0.0
1,6,125,0.0
1,6,128,0.0
1,6,130,0.0
1,6,134,0.0
1,6,135,0.0
1,6,137,0.0
1,6,138,0.0
1,6,140,0.0
1,6,145,0.00396701873618601
1,6,150,0.0
1,6,153,0.0
1,6,173,0.0
1,6,178,0.0
1,6,205,0.0
1,6,211,0.0
1,6,212,0.0
1,6,213,0.0
1,6,215,0.0
1,6,219,0.013947472278925621
1,6,232,0.0
1,6,234,0.0
1,6,236,0.0
1,6,237,0.0
1,6,242,0.0
1,6,243,0.0
1,6,244,0.0
1,6,245,0.0
1,6,258,0.0
1,6,259,0.0
1,6,265,0.0
1,6,266,0.0
1,6,277,0.0
1,6,278,0.0
1,6,280,0.0
1,6,315,0.0
1,6,317,0.0
1,6,319,0.0
1,6,325,0.0
1,6,326,0.0
1,6,328,0.0
1,6,349,0.0
1,6,364,0.0
1,6,376,0.0
1,6,377,0.0
1,6,379,0.0
1,6,386,0.0
1,6,400,0.0
1,6,401,0.0
1,6,402,0.0
1,6,409,0.0
1,6,411,0.0
1,6,412,0.0
1,6,417,0.0
1,6,421,0.0
1,6,424,0.0
1,6,430,0.0
1,6,435,0.0
1,6,439,0.0
1,6,442,0.0
1,6,445,0.0
1,6,452,0.0
1,6,459,0.0
1,6,463,0.02414565828612162
1,6,466,0.0
1,6,467,0.0
1,6,469,0.0
1,6,477,0.0
1,6,478,0.0
1,6,480,0.0
1,6,481,0.0
1,6,487,0.0
1,6,489,0.0
1,6,497,0.0
1,7,17,0.0
1,7,19,0.0
1,7,107,0.0
1,7,113,0.0
1,7,115,0.0
1,7,121,0.0
1,7,125,0.0
1,7,130,0.0
1,7,134,0.0
1,7,135,0.0
1,7,140,0.0
1,7,145,0.0
1,7,150,0.0
1,7,153,0.0
1,7,212,0.0
1,7,215,0.0
1,7,219,0.0
1,7,245,0.0
1,7,258,0.0
1,7,259,0.0
1,7,265,0.0
1,7,280,0.0
1,7,315,0.0
1,7,328,0.0
1,7,364,0.0
1,7,377,0.0
1,7,379,0.0
1,7,401,0.0
1,7,409,0.0
1,7,417,0.0
1,7,424,0.0
1,7,430,0.0
1,7,435,0.0
1,7,439,0.0
1,7,442,0.0
1,7,452,0.0
1,7,459,0.0
1,7,463,0.0
1,7,469,0.0
1,7,477,0.0
1,7,480,0.0
1,7,481,0.0
1,7,497,0.0
1,8,3,0.0
1,8,13,0.0
1,8,17,0.0
1,8,19,0.0
1,8,21,0.0
1,8,101,0.03180808364797749
1,8,105,0.0
1,8,107,0.0
1,8,110,0.0
1,8,111,0.0
1,8,113,0.0
1,8,115,0.0
1,8,116,0.0
1,8,120,0.0
1,8,121,0.0
1,8,122,0.0
1,8,123,0.0
1,8,124,0.0
1,8,125,0.0
1,8,128,0.0
1,8,130,0.0
1,8,134,0.0
1,8,135,0.0
1,8,137,0.0
1,8,140,0.0
1,8,145,0.0
1,8,150,0.0
1,8,153,0.0
1,8,173,0.0
1,8,178,0.0
1,8,182,0.0
1,8,205,0.0
1,8,211,0.0
1,8,212,0.0
1,8,213,0.0
1,8,215,0.005104994137316317
1,8,219,0.0
1,8,232,0.0
1,8,234,0.0
1,8,236,0.0
1,8,237,0.0
1,8,242,0.0
1,8,243,0.0
1,8,244,0.0
1,8,245,0.0
1,8,258,0.0
1,8,259,0.0
1,8,265,0.0
1,8,266,0.0
1,8,278,0.0
1,8,280,0.0
1,8,315,0.0
1,8,317,0.0
1,8,319,0.0
1,8,325,0.0
1,8,326,0.0
1,8,328,0.0
1,8,347,0.0
1,8,349,0.0
1,8,364,0.0
1,8,371,0.0
1,8,376,0.0
1,8,377,0.0
1,8,379,0.0
1,8,386,0.0
1,8,400,0.0
1,8,401,0.0
1,8,402,0.0
1,8,409,0.0
1,8,412,0.0
1,8,417,0.0
1,8,424,0.0
1,8,430,0.0
1,8,435,0.0
1,8,439,0.0
1,8,442,0.0
1,8,445,0.0
1,8,449,0.0
1,8,451,0.0
1,8,452,0.0
1,8,456,0.0
1,8,459,0.0
1,8,463,0.0
1,8,466,0.0
1,8,467,0.0
1,8,469,0.0
1,8,477,0.0
1,8,478,0.0
1,8,480,0.0
1,8,481,0.0
1,8,487,0.0
1,8,489,0.0
1,8,497,0.0
1,8,498,0.0
1,9,3,0.0
1,9,13,0.0
1,9,19,0.0
1,9,21,0.060205999132796235
1,9,101,0.0
1,9,105,0.0
1,9,107,0.0
1,9,110,0.0
1,9,111,0.0
1,9,113,0.0
1,9,115,0.0
1,9,116,0.0
1,9,120,0.0
1,9,121,0.0
1,9,122,0.0
1,9,123,0.0
1,9,124,0.0
1,9,125,0.0
1,9,128,0.0
1,9,130,0.0
1,9,134,0.0
1,9,135,0.0
1,9,137,0.0
1,9,140,0.0
1,9,145,0.0
1,9,150,0.0
1,9,153,0.0
1,9,173,0.0
1,9,178,0.0
1,9,182,0.0
1,9,205,0.0
1,9,211,0.0
1,9,212,0.0
1,9,213,0.030102999566398118
1,9,215,0.0
1,9,219,0.0
1,9,232,0.0
1,9,234,0.0
1,9,236,0.0
1,9,237,0.0
1,9,242,0.0
1,9,243,0.0
1,9,244,0.0
1,9,245,0.0
1,9,258,0.0
1,9,259,0.0
1,9,265,0.0
1,9,266,0.0
1,9,278,0.0
1,9,280,0.0
1,9,315,0.0
1,9,319,0.0
1,9,325,0.0
1,9,326,0.0
1,9,328,0.0
1,9,347,0.0
1,9,349,0.0
1,9,364,0.0
1,9,376,0.0
1,9,377,0.0
1,9,379,0.0
1,9,386,0.0
1,9,400,0.0
1,9,401,0.0
1,9,402,0.0
1,9,409,0.0
1,9,411,0.0
1,9,412,0.0
1,9,417,0.0
1,9,424,0.0
1,9,430,0.0
1,9,435,0.0
1,9,439,0.0
1,9,442,0.0
1,9,452,0.0
1,9,459,0.0
1,9,463,0.0
1,9,466,0.0
1,9,467,0.0
1,9,469,0.0
1,9,477,0.0
1,9,478,0.0
1,9,480,0.0
1,9,481,0.0
1,9,487,0.0
1,9,489,0.0
1,9,497,0.0
1,10,3,0.0
1,10,17,0.0
1,10,19,0.0
1,10,21,0.030102999566398118
1,10,107,0.0
1,10,110,0.0
1,10,111,0.0
1,10,113,0.0
1,10,115,0.0
1,10,116,0.0
1,10,118,0.0
1,10,120,0.0
1,10,121,0.0
1,10,122,0.0
1,10,123,0.0
1,10,124,0.0
1,10,125,0.0
1,10,128,0.0
1,10,130,0.0
1,10,134,0.0017377653250491923
1,10,135,0.0
1,10,137,0.0
1,10,138,0.0
1,10,140,0.002687859326319886
1,10,145,0.0
1,10,153,0.0
1,10,160,0.0
1,10,173,0.0
1,10,178,0.0
1,10,203,0.0
1,10,205,0.0
1,10,211,0.0
1,10,212,0.0
1,10,213,0.08387640052032225
1,10,215,0.0
1,10,219,0.0
1,10,232,0.0
1,10,234,0.0
1,10,236,0.0
1,10,237,0.0
1,10,243,0.0
1,10,244,0.0
1,10,245,0.0
1,10,258,0.0
1,10,259,0.0
1,10,265,0.0
1,10,266,0.0
1,10,268,0.0
1,10,274,0.0
1,10,278,0.0
1,10,280,0.0
1,10,315,0.0
1,10,317,0.0
1,10,319,0.0
1,10,325,0.0
1,10,326,0.0
1,10,328,0.0
1,10,343,0.0
1,10,349,0.0
1,10,353,0.0
1,10,360,0.0
1,10,364,0.0
1,10,373,0.0
1,10,376,0.0
1,10,377,0.0
1,10,379,0.0
1,10,386,0.0
1,10,400,0.0
1,10,401,0.0
1,10,402,0.0
1,10,409,0.0
1,10,412,0.0
1,10,417,0.0
1,10,424,0.0
1,10,430,0.0
1,10,435,0.0
1,10,439,0.0
1,10,442,0.0
1,10,445,0.0
1,10,446,0.0
1,10,452,0.0
1,10,459,0.0
1,10,460,0.0
1,10,463,0.0
1,10,466,0.0
1,10,467,0.0
1,10,469,0.0
1,10,477,0.0
1,10,478,0.0
1,10,480,0.0
1,10,481,0.0
1,10,487,0.0
1,10,488,0.0
1,10,489,0.0
1,10,497,0.0
1,11,3,0.0
1,11,101,0.0
1,11,107,0.0
1,11,110,0.0
1,11,111,0.0
1,11,115,0.0
1,11,118,0.0
1,11,121,0.0
1,11,122,0.0
1,11,124,0.0
1,11,125,0.0
1,11,128,0.0
1,11,130,0.0
1,11,134,0.0
1,11,135,0.0
1,11,137,0.0
1,11,140,0.0
1,11,145,0.0
1,11,150,0.0
1,11,153,0.0
1,11,160,0.0
1,11,173,0.0
1,11,178,0.0
1,11,205,0.0
1,11,211,0.0
1,11,212,0.0
1,11,215,0.0
1,11,219,0.0
1,11,234,0.0
1,11,237,0.0
1,11,242,0.0
1,11,244,0.0
1,11,245,0.0
1,11,258,0.0
1,11,259,0.0
1,11,265,0.0
1,11,266,0.0
1,11,278,0.0
1,11,280,0.0
1,11,315,0.0
1,11,319,0.0
1,11,325,0.0
1,11,326,0.0
1,11,328,0.0
1,11,349,0.0
1,11,364,0.0
1,11,376,0.0
1,11,377,0.0
1,11,379,0.0
1,11,386,0.0
1,11,400,0.0
1,11,401,0.0
1,11,409,0.0
1,11,417,0.0
1,11,424,0.0
1,11,430,0.0
1,11,435,0.0
1,11,439,0.0
1,11,442,0.0
1,11,445,0.0
1,11,452,0.0
1,11,459,0.0
1,11,463,0.0
1,11,466,0.0
1,11,467,0.0
1,11,469,0.0
1,11,477,0.0
1,11,480,0.0
1,11,481,0.0
1,11,489,0.0
1,12,3,0.0
1,12,17,0.0
1,12,19,0.0
1,12,21,0.0
1,12,107,0.0
1,12,110,0.0
1,12,111,0.0
1,12,113,0.0
1,12,115,0.0
1,12,116,0.0
1,12,121,0.0
1,12,122,0.0
1,12,125,0.0
1,12,128,0.0
1,12,130,0.0
1,12,134,0.0
1,12,135,0.0
1,12,137,0.0
1,12,138,0.0
1,12,140,0.0
1,12,145,0.0
1,12,150,0.0
1,12,153,0.0
1,12,173,0.0
1,12,178,0.0
1,12,205,0.0
1,12,211,0.0
1,12,212,0.0
1,12,213,0.060205999132796235
1,12,215,0.0
1,12,219,0.0
1,12,232,0.0
1,12,234,0.0
1,12,236,0.0
1,12,237,0.0
1,12,242,0.0
1,12,243,0.0
1,12,244,0.0
1,12,245,0.0
1,12,258,0.0
1,12,259,0.0
1,12,265,0.0
1,12,266,0.0
1,12,278,0.0
1,12,280,0.0
1,12,315,0.0
1,12,317,0.0
1,12,319,0.0
1,12,325,0.0
1,12,326,0.0
1,12,328,0.0
1,12,347,0.0
1,12,349,0.0
1,12,364,0.0
1,12,376,0.0
1,12,377,0.0
1,12,379,0.0
1,12,386,0.0
1,12,400,0.0
1,12,401,0.0
1,12,409,0.0
1,12,412,0.0
1,12,417,0.0
1,12,424,0.0
1,12,430,0.0
1,12,435,0.0
1,12,439,0.0
1,12,442,0.0
1,12,445,0.0
1,12,452,0.0
1,12,459,0.0
1,12,463,0.0
1,12,466,0.0
1,12,467,0.0
1,12,469,0.0
1,12,477,0.0
1,12,478,0.0
1,12,480,0.0
1,12,481,0.0
1,12,487,0.0
1,12,489,0.0
1,13,3,0.0
1,13,13,0.0
1,13,17,0.0
1,13,19,0.0
1,13,21,0.059337362532264674
1,13,101,0.04000000000000001
1,13,105,0.0
1,13,107,0.0011705091862806627
1,13,110,0.0
1,13,111,0.0
1,13,113,0.0
1,13,115,0.0
1,13,116,0.0
1,13,120,0.0
1,13,121,0.0
1,13,122,0.00226434330139794
1,13,123,0.0
1,13,124,0.0
1,13,125,0.0
1,13,128,0.0
1,13,130,0.0
1,13,134,0.00030824928432851497
1,13,135,0.0
1,13,137,0.0
1,13,138,0.0
1,13,140,0.0
1,13,145,0.0
1,13,150,0.0
1,13,153,0.0
1,13,171,0.0
1,13,173,0.0
1,13,178,0.0
1,13,182,0.0
1,13,205,0.0
1,13,210,0.0
1,13,211,0.0
1,13,212,0.0
1,13,213,0.0784060839370454
1,13,215,0.0007092145541459976
1,13,219,0.0
1,13,232,0.0
1,13,234,0.0
1,13,236,0.0
1,13,237,0.0
1,13,242,0.0
1,13,243,0.005853540442658253
1,13,244,0.0
1,13,245,0.0
1,13,258,0.0
1,13,259,0.0
1,13,265,0.0
1,13,266,0.005927170834612145
1,13,268,0.0
1,13,272,0.0
1,13,274,0.12969187506394061
1,13,277,0.0
1,13,278,0.0
1,13,280,0.001414038278084812
1,13,282,0.0
1,13,315,0.0
1,13,317,0.017986354100793744
1,13,319,0.0
1,13,325,0.0
1,13,326,0.0
1,13,328,0.0
1,13,334,0.0
1,13,343,0.0
1,13,347,0.0
1,13,349,0.0
1,13,364,0.0
1,13,376,0.0
1,13,377,0.0
1,13,379,0.0
1,13,386,0.0
1,13,400,0.0
1,13,401,0.0
1,13,402,0.0
1,13,409,0.0
1,13,411,0.0
1,13,412,0.0
1,13,417,0.0
1,13,424,0.0
1,13,430,0.0
1,13,435,0.0
1,13,439,0.0
1,13,442,0.0009964955234524522
1,13,445,0.0
1,13,446,0.0
1,13,452,0.0
1,13,459,0.0
1,13,463,0.0
1,13,466,0.0
1,13,467,0.0
1,13,469,0.0
1,13,477,0.0
1,13,478,0.0
1,13,480,0.0
1,13,481,0.0
1,13,487,0.0
1,13,489,0.0
1,13,497,0.0
1,14,3,0.0
1,14,17,0.0
1,14,19,0.0
1,14,21,0.030102999566398118
1,14,24,0.0
1,14,101,0.0
1,14,107,0.0
1,14,110,0.0
1,14,111,0.0
1,14,113,0.0
1,14,115,0.0
1,14,116,0.0
1,14,121,0.0
1,14,122,0.0
1,14,124,0.0
1,14,125,0.0
1,14,128,0.0
1,14,130,0.0
1,14,134,0.0029487310676845927
1,14,135,0.0
1,14,137,0.0
1,14,140,0.0
1,14,145,0.0
1,14,150,0.0
1,14,153,0.0
1,14,173,0.0
1,14,178,0.0
1,14,205,0.0
1,14,211,0.0
1,14,212,0.0
1,14,213,0.0
1,14,215,0.0
1,14,219,0.0
1,14,232,0.0
1,14,234,0.0
1,14,236,0.0
1,14,237,0.0
1,14,243,0.0
1,14,244,0.0
1,14,245,0.0
1,14,258,0.0
1,14,259,0.0
1,14,265,0.0
1,14,266,0.0
1,14,278,0.0
1,14,280,0.0
1,14,315,0.0
1,14,317,0.0
1,14,319,0.0
1,14,325,0.0
1,14,326,0.0
1,14,328,0.0
1,14,349,0.0
1,14,364,0.0
1,14,376,0.0
1,14,377,0.0
1,14,379,0.0
1,14,386,0.0
1,14,400,0.0
1,14,401,0.0
1,14,402,0.0
1,14,409,0.0
1,14,412,0.0
1,14,417,0.0
1,14,424,0.0
1,14,430,0.0
1,14,435,0.0
1,14,439,0.0
1,14,442,0.0
1,14,445,0.0
1,14,452,0.0
1,14,459,0.0
1,14,463,0.0
1,14,466,0.0
1,14,469,0.0
1,14,477,0.0
1,14,478,0.0
1,14,480,0.0
1,14,481,0.0
1,14,487,0.0
1,14,489,0.0
1,14,497,0.0
1,15,3,0.0
1,15,17,0.0
1,15,19,0.0
1,15,21,0.02593837501278812
1,15,30,0.0
1,15,101,0.0
1,15,105,0.0
1,15,107,0.0
1,15,110,0.0
1,15,111,0.0
1,15,113,0.0
1,15,115,0.0
1,15,116,0.0
1,15,121,0.0
